"sample_id","allergy_status","cohort"
"GSM5695306_204088100082_R07C01","allergic","GSE189148"
"GSM5695308_204088100082_R05C01","allergic","GSE189148"
"GSM5695310_204281260061_R01C01","allergic","GSE189148"
"GSM5695312_204273120074_R06C01","allergic","GSE189148"
"GSM5695314_204273120073_R02C01","allergic","GSE189148"
"GSM5695316_204281260061_R07C01","allergic","GSE189148"
"GSM5695318_204088100071_R04C01","allergic","GSE189148"
"GSM5695320_204281260063_R01C01","allergic","GSE189148"
"GSM5695322_204088100053_R06C01","allergic","GSE189148"
"GSM5695324_204273120074_R08C01","allergic","GSE189148"
"GSM5695326_204281260060_R01C01","control","GSE189148"
"GSM5695328_204281260061_R05C01","control","GSE189148"
"GSM5695330_204281260061_R04C01","allergic","GSE189148"
"GSM5695332_204273120066_R08C01","allergic","GSE189148"
"GSM5695334_204281260063_R08C01","control","GSE189148"
"GSM5695336_204273120005_R07C01","control","GSE189148"
"GSM5695338_204088100071_R01C01","control","GSE189148"
"GSM5695340_204273120074_R05C01","allergic","GSE189148"
"GSM5695343_204273120068_R04C01","allergic","GSE189148"
"GSM5695345_204088100053_R03C01","allergic","GSE189148"
"GSM5695347_204281260061_R08C01","allergic","GSE189148"
"GSM5695349_204281260060_R04C01","control","GSE189148"
"GSM5695351_204273120074_R03C01","control","GSE189148"
"GSM5695353_204273120074_R02C01","allergic","GSE189148"
"GSM5695355_204273120068_R06C01","allergic","GSE189148"
"GSM5695357_204273120066_R06C01","control","GSE189148"
"GSM5695359_204273120074_R01C01","allergic","GSE189148"
"GSM5695360_204273120005_R06C01","allergic","GSE189148"
"GSM5695362_204088100071_R08C01","allergic","GSE189148"
"GSM5695364_204281260043_R08C01","control","GSE189148"
"GSM5695366_204088100071_R06C01","control","GSE189148"
"GSM5695368_204281260043_R05C01","allergic","GSE189148"
"GSM5695372_204273120073_R05C01","control","GSE189148"
"GSM5695374_204281260043_R03C01","allergic","GSE189148"
"GSM5695376_204281260063_R03C01","control","GSE189148"
"GSM5695378_204273120068_R01C01","control","GSE189148"
"GSM5695380_204273120068_R03C01","allergic","GSE189148"
"GSM5695382_204088100082_R03C01","control","GSE189148"
"GSM5695384_204281260063_R06C01","allergic","GSE189148"
"GSM5695386_204273120074_R04C01","allergic","GSE189148"
"GSM5695388_204281260063_R05C01","control","GSE189148"
"GSM5695390_204273120066_R01C01","allergic","GSE189148"
"GSM5695392_204273120073_R06C01","allergic","GSE189148"
"GSM3133404","allergic","GSE114134"
"GSM3133409","allergic","GSE114134"
"GSM3133413","control","GSE114134"
"GSM3133415","allergic","GSE114134"
"GSM3133419","allergic","GSE114134"
"GSM3133423","control","GSE114134"
"GSM3133426","control","GSE114134"
"GSM3133428","control","GSE114134"
"GSM3133430","control","GSE114134"
"GSM3133432","control","GSE114134"
"GSM3133434","control","GSE114134"
"GSM3133436","control","GSE114134"
"GSM3133438","allergic","GSE114134"
"GSM3133442","control","GSE114134"
"GSM3133444","allergic","GSE114134"
"GSM3133448","control","GSE114134"
"GSM3133450","control","GSE114134"
"GSM3133452","control","GSE114134"
"GSM3133454","control","GSE114134"
"GSM3133456","control","GSE114134"
"GSM3133458","control","GSE114134"
"GSM3133460","control","GSE114134"
"GSM3133462","allergic","GSE114134"
"GSM3133466","control","GSE114134"
"GSM3133468","allergic","GSE114134"
"GSM3133472","control","GSE114134"
"GSM3133474","control","GSE114134"
"GSM3133478","allergic","GSE114134"
"GSM3133482","allergic","GSE114134"
"GSM3133486","allergic","GSE114134"
"GSM3133490","control","GSE114134"
"GSM3133492","allergic","GSE114134"
"GSM3133498","allergic","GSE114134"
"GSM3133502","allergic","GSE114134"
"GSM3133506","allergic","GSE114134"
"GSM3133512","allergic","GSE114134"
"GSM3133516","allergic","GSE114134"
"GSM3133520","allergic","GSE114134"
"GSM3133524","allergic","GSE114134"
"GSM3133528","allergic","GSE114134"
"GSM3133532","allergic","GSE114134"
"GSM3133536","allergic","GSE114134"
"GSM3133540","allergic","GSE114134"
"GSM3133544","allergic","GSE114134"
"GSM3133548","allergic","GSE114134"
"GSM3133552","allergic","GSE114134"
"GSM3133556","allergic","GSE114134"
"GSM3133560","allergic","GSE114134"
"GSM3133564","allergic","GSE114134"
"GSM3133568","allergic","GSE114134"
"GSM3133574","allergic","GSE114134"
"GSM3133578","allergic","GSE114134"
"GSM3133582","allergic","GSE114134"
"GSM3133586","allergic","GSE114134"
"GSM3133590","allergic","GSE114134"
"GSM3133594","allergic","GSE114134"
"GSM3133597","allergic","GSE114134"
"GSM3133601","allergic","GSE114134"
"GSM3133605","allergic","GSE114134"
