,selection_frequency
cg11090352,0.63
cg10134833,0.57
cg13647706,0.55
cg15076659,0.54
cg24078870,0.35
cg25753841,0.34
cg23729331,0.33
cg21180061,0.3
cg15594905,0.3
cg24805258,0.3
cg14138827,0.3
cg16059957,0.26
cg13639901,0.24
cg06863972,0.23
cg26115633,0.23
cg09515767,0.22
cg06077359,0.22
cg00922825,0.21
cg21029612,0.21
cg10111054,0.21
cg19285799,0.21
cg26190994,0.21
cg02617837,0.2
cg11403689,0.19
cg13607709,0.19
cg17274953,0.18
cg04136922,0.16
cg10678018,0.15
cg03794213,0.15
cg10316877,0.15
cg25068063,0.15
cg07720865,0.14
cg17498188,0.14
cg16711004,0.14
cg16579190,0.14
cg01559158,0.14
cg21486465,0.13
cg17760405,0.13
cg00744791,0.13
cg06908352,0.13
cg00791868,0.13
cg23891251,0.13
cg05938197,0.13
cg08458738,0.13
cg15208524,0.12
cg01004144,0.12
cg01069707,0.12
cg18515229,0.12
cg10706230,0.12
cg07552803,0.12
cg18522266,0.12
cg06452331,0.12
cg13899694,0.12
cg26311118,0.12
cg12571629,0.11
cg27264249,0.11
cg04838382,0.11
cg03304378,0.11
cg07872987,0.11
cg02999013,0.11
cg00145955,0.11
cg06014180,0.11
cg11670533,0.1
cg04310354,0.1
cg02063203,0.1
cg05304331,0.1
cg24571913,0.1
cg16517851,0.1
cg26149275,0.1
cg14898621,0.1
cg04922222,0.1
cg16384862,0.1
cg00303335,0.1
cg12802921,0.1
cg15170946,0.09
cg04177089,0.09
cg10327302,0.09
cg14006320,0.09
cg13881906,0.09
cg25206996,0.09
cg16622494,0.09
cg26614624,0.09
cg25991468,0.09
cg21944138,0.09
cg25555485,0.08
cg06451845,0.08
cg03736085,0.08
cg14384748,0.08
cg05972047,0.08
cg18605858,0.08
cg02383035,0.08
cg18792904,0.08
cg01601439,0.08
cg08022965,0.08
cg15739997,0.08
cg16226866,0.08
cg08339492,0.08
cg14625938,0.08
cg00773696,0.07
cg08879470,0.07
cg24174307,0.07
cg11723850,0.07
cg27114428,0.07
cg03266380,0.07
cg18954037,0.07
cg24973720,0.07
cg15749633,0.07
cg10618207,0.07
cg11840740,0.07
cg12537925,0.07
cg26010942,0.07
cg11539275,0.07
cg23471890,0.07
cg09887678,0.07
cg00558215,0.07
cg10950441,0.07
cg10022295,0.07
cg14449473,0.06
cg14203118,0.06
cg06531430,0.06
cg07224636,0.06
cg22643313,0.06
cg08629869,0.06
cg05374798,0.06
cg07121541,0.06
cg23983887,0.06
cg25110584,0.06
cg07962315,0.06
cg25654768,0.06
cg02899870,0.06
cg17091793,0.06
cg21150675,0.06
cg26043149,0.06
cg12125614,0.06
cg24966575,0.06
cg14858786,0.06
cg16491506,0.06
cg09518226,0.06
cg02075877,0.06
cg26460471,0.05
cg02208176,0.05
cg01527418,0.05
cg13036352,0.05
cg25623451,0.05
cg25120326,0.05
cg23370536,0.05
cg21830003,0.05
cg12620806,0.05
cg18668511,0.05
cg12229505,0.05
cg13775913,0.05
cg14523866,0.05
cg11506907,0.05
cg05638598,0.05
cg24648549,0.05
cg14451276,0.05
cg24356687,0.05
cg09235936,0.05
cg03557265,0.05
cg12462858,0.05
cg07906745,0.05
cg22044002,0.05
cg00609363,0.05
cg12400610,0.05
cg23300494,0.05
cg03330254,0.05
cg08546016,0.05
cg25987077,0.05
cg24780981,0.05
cg00777310,0.05
cg08900943,0.05
cg16800968,0.05
cg04943066,0.05
cg15788625,0.05
cg05082960,0.05
cg21156662,0.05
cg05133179,0.05
cg25385828,0.05
cg08133699,0.05
cg13703503,0.04
cg18905132,0.04
cg10229621,0.04
cg02944398,0.04
cg09997171,0.04
cg17021559,0.04
cg21686613,0.04
cg26025358,0.04
cg14585406,0.04
cg10184983,0.04
cg02918557,0.04
cg22481137,0.04
cg05227655,0.04
cg24136855,0.04
cg06834177,0.04
cg17473765,0.04
cg12177851,0.04
cg26822740,0.04
cg10163483,0.04
cg23231550,0.04
cg07377755,0.04
cg10706553,0.04
cg07166707,0.04
cg08565409,0.04
cg27114138,0.04
cg18267489,0.04
cg13901901,0.04
cg20687242,0.04
cg22496809,0.04
cg12781287,0.04
cg09552189,0.04
cg09626274,0.04
cg21071494,0.04
cg17153157,0.04
cg06680397,0.04
cg09138965,0.04
cg04387984,0.04
cg17936460,0.04
cg02845673,0.04
cg20281583,0.04
cg01395760,0.04
cg04649575,0.04
cg14436871,0.04
cg18864909,0.04
cg06465151,0.04
cg17567128,0.04
cg18892473,0.04
cg04755688,0.04
cg02741177,0.04
cg09869474,0.04
cg22168617,0.04
cg08328134,0.04
cg13233534,0.04
cg01923073,0.04
cg08103098,0.04
cg19800026,0.04
cg07505669,0.03
cg18394216,0.03
cg22299966,0.03
cg26790547,0.03
cg04768958,0.03
cg09979478,0.03
cg02443818,0.03
cg21569090,0.03
cg04204388,0.03
cg23348158,0.03
cg00856905,0.03
cg13061886,0.03
cg21478136,0.03
cg25741953,0.03
cg24748867,0.03
cg10330955,0.03
cg24703168,0.03
cg16653138,0.03
cg23421262,0.03
cg10638118,0.03
cg05602200,0.03
cg24392372,0.03
cg01838004,0.03
cg12273231,0.03
cg15386550,0.03
cg26371061,0.03
cg06653203,0.03
cg11305394,0.03
cg27372759,0.03
cg06527844,0.03
cg03978365,0.03
cg26500223,0.03
cg11145302,0.03
cg17323243,0.03
cg25950548,0.03
cg10022904,0.03
cg07350732,0.03
cg13114547,0.03
cg05401764,0.03
cg16507354,0.03
cg16929712,0.03
cg01949920,0.03
cg01667978,0.03
cg20777796,0.03
cg01994328,0.03
cg22559218,0.03
cg13658885,0.03
cg07686023,0.03
cg01435107,0.03
cg09247193,0.03
cg14328457,0.03
cg13295719,0.03
cg07621747,0.03
cg03522766,0.03
cg07212963,0.03
cg06361403,0.03
cg02292129,0.03
cg02059927,0.03
cg09184192,0.03
cg25069631,0.03
cg05764403,0.03
cg25035392,0.03
cg08385422,0.03
cg12879607,0.03
cg05264764,0.03
cg11213588,0.03
cg04221597,0.03
cg14511866,0.03
cg24627793,0.03
cg05185946,0.03
cg13711457,0.03
cg00529181,0.03
cg17234776,0.03
cg16815229,0.03
cg00151491,0.03
cg19067897,0.03
cg24700881,0.03
cg03951267,0.03
cg22490506,0.03
cg18766170,0.03
cg11878016,0.03
cg10602982,0.03
cg11568095,0.03
cg03152388,0.03
cg16283385,0.03
cg07088328,0.03
cg26258116,0.03
cg13614092,0.03
cg08479752,0.03
cg26014723,0.03
cg15012506,0.03
cg16238207,0.03
cg16916522,0.03
cg07925453,0.03
cg02583633,0.03
cg25929173,0.03
cg20389760,0.03
cg25666278,0.03
cg07536452,0.03
cg15215519,0.02
cg20973720,0.02
cg27655671,0.02
cg20735720,0.02
cg07719100,0.02
cg22733863,0.02
cg14353965,0.02
cg17129755,0.02
cg19590834,0.02
cg03536785,0.02
cg01154032,0.02
cg22612033,0.02
cg01156663,0.02
cg22389545,0.02
cg08621926,0.02
cg17473104,0.02
cg13912404,0.02
cg08523628,0.02
cg22620363,0.02
cg01104089,0.02
cg17749961,0.02
cg26726575,0.02
cg19486023,0.02
cg03548242,0.02
cg14310109,0.02
cg17558214,0.02
cg10356904,0.02
cg09420665,0.02
cg26645635,0.02
cg03433313,0.02
cg26547443,0.02
cg17198867,0.02
cg15579888,0.02
cg08608947,0.02
cg27504832,0.02
cg26643039,0.02
cg07324172,0.02
cg18264306,0.02
cg14195823,0.02
cg20279003,0.02
cg10314241,0.02
cg02400740,0.02
cg02610227,0.02
cg08952017,0.02
cg02857778,0.02
cg04507426,0.02
cg07807047,0.02
cg19561185,0.02
cg21199629,0.02
cg18219563,0.02
cg18681998,0.02
cg26919154,0.02
cg12460140,0.02
cg10213328,0.02
cg02560967,0.02
cg25151559,0.02
cg05770241,0.02
cg26043010,0.02
cg15834460,0.02
cg16164276,0.02
cg25746134,0.02
cg10211456,0.02
cg02062326,0.02
cg07870999,0.02
cg03034818,0.02
cg16887689,0.02
cg19297881,0.02
cg25576011,0.02
cg02529683,0.02
cg14653418,0.02
cg13253642,0.02
cg26912576,0.02
cg17109669,0.02
cg14791846,0.02
cg20678377,0.02
cg26140708,0.02
cg14730085,0.02
cg00620445,0.02
cg19000782,0.02
cg10137450,0.02
cg25973835,0.02
cg13047989,0.02
cg22976242,0.02
cg27145083,0.02
cg03499428,0.02
cg09531402,0.02
cg12606302,0.02
cg19190269,0.02
cg04695356,0.02
cg01971552,0.02
cg21936165,0.02
cg26031255,0.02
cg18136423,0.02
cg04967687,0.02
cg00520135,0.02
cg19206844,0.02
cg12831869,0.02
cg20068492,0.02
cg01408342,0.02
cg13514994,0.02
cg03645581,0.02
cg10962261,0.02
cg02074719,0.02
cg15413279,0.02
cg04295733,0.02
cg09909877,0.02
cg06740710,0.02
cg25499728,0.02
cg09606770,0.02
cg10566589,0.02
cg07140176,0.02
cg14875920,0.02
cg09256440,0.02
cg24797528,0.02
cg14129735,0.02
cg20547770,0.02
cg12412781,0.02
cg17506056,0.02
cg14655732,0.02
cg21073520,0.02
cg14552457,0.02
cg10648897,0.02
cg15841167,0.02
cg00316677,0.02
cg23464619,0.02
cg17540096,0.02
cg10725344,0.02
cg05541267,0.02
cg13900767,0.02
cg10431499,0.02
cg07274752,0.02
cg01222380,0.02
cg09307644,0.02
cg03089244,0.02
cg03506657,0.02
cg02298956,0.02
cg04458798,0.02
cg17683100,0.02
cg06000883,0.02
cg24336674,0.02
cg12912636,0.02
cg13861904,0.02
cg04729826,0.02
cg17248521,0.02
cg19352542,0.02
cg13599485,0.02
cg18032744,0.02
cg16190018,0.02
cg12642773,0.02
cg03997039,0.02
cg08641879,0.02
cg01141445,0.02
cg04763326,0.02
cg07764676,0.02
cg14101193,0.02
cg22807681,0.02
cg21328643,0.02
cg18188697,0.02
cg06839900,0.02
cg04252928,0.02
cg01098936,0.02
cg25056994,0.02
cg20291162,0.02
cg02777670,0.02
cg26457901,0.02
cg08846482,0.02
cg14552882,0.02
cg21302319,0.02
cg15993383,0.02
cg05338317,0.02
cg09668408,0.02
cg20052227,0.02
cg15225132,0.02
cg12509989,0.02
cg21724796,0.02
cg15223494,0.02
cg11635074,0.02
cg21918062,0.02
cg19157329,0.02
cg26147796,0.02
cg00527382,0.02
cg13045913,0.02
cg22429822,0.02
cg10484734,0.02
cg09915221,0.02
cg10427864,0.02
cg17666994,0.02
cg01029791,0.02
cg02854879,0.02
cg18304307,0.02
cg00804048,0.02
cg05207253,0.02
cg26863200,0.02
cg03000006,0.02
cg03885271,0.02
cg13770088,0.02
cg00077302,0.02
cg22643481,0.02
cg19505136,0.02
cg13190924,0.02
cg10191240,0.01
cg09978321,0.01
cg20714331,0.01
cg06911020,0.01
cg11036338,0.01
cg21093670,0.01
cg18527739,0.01
cg25152498,0.01
cg09309058,0.01
cg15528852,0.01
cg13432102,0.01
cg21746222,0.01
cg03710251,0.01
cg16671684,0.01
cg04568492,0.01
cg02370978,0.01
cg14066439,0.01
cg05878952,0.01
cg21376733,0.01
cg05600174,0.01
cg02079236,0.01
cg16395712,0.01
cg16955692,0.01
cg02359186,0.01
cg02162745,0.01
cg05782361,0.01
cg06280059,0.01
cg20391597,0.01
cg09870721,0.01
cg12432846,0.01
cg22188450,0.01
cg04528217,0.01
cg26995915,0.01
